Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount
75 or over,Stuffy Nose,9/21/2014,25dph-7.5peh,146724,5,5,I'm a retired physician and of all the meds I have tried for my allergies (seasonal and not) - this one is the most effective for me.  When I first began using this drug some years ago - tiredness as a problem but is not currently.,5,Male,"Drowsiness,  dizziness ,  dry mouth /nose/throat,  headache ,  upset stomach ,  constipation , or  trouble sleeping  may occur.",0
25-34,Cold Symptoms,1/13/2011,25dph-7.5peh,146724,5,5,cleared me right up even with my throat hurting it went away after taking the medicine,5,Female,"Drowsiness,  dizziness ,  dry mouth /nose/throat,  headache ,  upset stomach ,  constipation , or  trouble sleeping  may occur.",1
65-74,Other,7/16/2012,warfarin (bulk) 100 % powder,144731,2,3,"why did my PTINR go from a normal of 2.5 to over 
100?",3,Female, ,0
75 or over,Other,9/23/2010,warfarin (bulk) 100 % powder,144731,2,2,FALLING AND DON'T REALISE IT,1,Female, ,0
35-44,Other,1/6/2009,warfarin (bulk) 100 % powder,144731,1,1,"My grandfather was prescribed this medication (Coumadin) to assist in blood thinning due to a heart and thyroid condition.  His primary doctor was aware that he was on an aspirin regiment and still prescribed this medicine, it caused his blood to thin out to much and he ended up internally bleeding to death.  If you are going to take this medicine please ask your doctors about possible side effects or drug interactions.",1,Male, ,1
55-64,Other,7/19/2008,warfarin (bulk) 100 % powder,144731,4,4,help heart condition operation well,4,Male, ,0
25-34,Birth Control,6/15/2017,wymzya fe,163180,5,5,"Haven't gotten pregnant so it does it's job. I was switched to this brand from another generic. I get nauseous and generally feel tired on this, also more headaches.",2,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
45-54,Disease of Ovaries with Cysts,1/30/2017,wymzya fe,163180,5,5,I have take this for 5 years age 45-50 to prevent ovarian cysts (I had 2 burst). Now stopped because of age. No side effects. ,5,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Acne,4/27/2016,wymzya fe,163180,4,2, ,2,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",1
55-64,Stuffy Nose,10/29/2012,"12 hour nasal relief spray, non-aerosol",9800,4,2,The 12 hour spray only works for me for 6 hours.,2,Male,"Temporary burning, stinging, dryness in the nose,  runny nose , and  sneezing  may occur.",0
65-74,Other,3/15/2016,pyrogallol crystals,12112,5,5,Excellent in reducing inlamation associated with osteo-arthritis!,5,Male, ,0
19-24,Birth Control,11/17/2018,lyza,164750,5,5,"Taking Lyza made me break out HORRIBLY. I tried it out for 3 months and then it was so bad that I stopped taking it. It?õ??s inceedible how much it damaged my skin in only 3 months. Now it?õ??s been 3 months since I stopped taking it and my skin is way better but i still have acne and i have really bad scars. I definitely would not take this again. Besides the acne, while taking Lyza I started to not get me periods anymore starting about the 3rd month. Everything else was fine. It didn?õ??t give me mood swings or anything like that. ",2, ,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",0
 ,Birth Control,7/3/2018,lyza,164750,2,1,"This stuff needs to be removed from the market! ItÉ??s so harmful and ages you fast!! 
I have dark racoon eyes, and dark marks all over my neck.
Shortness of breath
Horrible mood swings
Horrible acne 
Enlarged poors 
And hair loss. Avoid this birth control because it literally IS THE PLAGUE! ",1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",0
19-24,Birth Control,3/6/2018,lyza,164750,2,3,"I usually have zero to little acne, a few months after taking this medication made me breakout horribly in places around my mouth, chin and forehead. My cystic acne was so bad. I had horrible mood swings. This pill wasnÉ??t for me and now I am trying new birth control. ",1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",0
35-44,Birth Control,2/13/2018,lyza,164750,5,5,"I was concerned about starting a bc pill due to my high bp, then I found out about the mini pill w/o estrogen.  Despite the negative reviews, I absolutely love Lyza. After a couple months I stopped getting a period. I just had a period every few months or it was just spotting for that period.  Either way I like not getting a period so that?õ??s a plus w this pill. No side effects. Only thing is... you must take this pill at the same time each day!",5, ,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",0
25-34,Birth Control,12/9/2017,lyza,164750,2,2,The birth control was very easy to use and it worked but the side effects where not that great. I started to lose my hair like ALOT! I ended up with a two bald patches on the left side of my head they where about 2 1/2?õ??ù X 1 1/2?õ??ù  it was pretty bad and embarrassing... after I stopped taking them my hair started to grow back to normal. I?õ??ll mostly never take this birth control again hope you all do your research before taking a new birth control.,1, ,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",1
25-34,Birth Control,10/7/2017,lyza,164750,1,1,"LYZA BIRTH CONTROL
These are the WORST birth control pills I have ever taken!  I've only been taking them for a couple of weeks and I feel like a crazy person.  I've been crying, (for no reason), been super depressed, my anxiety is terrible, along with daily headaches and break outs.   I realize everyone's body reacts differently to medication,  but I've read nothing but negative reviews.  I can surely attest to that.  I wouldn't advise anyone to take these.   Absolutely awful.
",1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, or  weight  gain may occur.",1
